gene_id	gene_symbol	ensembl_id	gene_title	gene_type	src	feature_space
139538	VENTXP1	ENSG00000259849	VENT homeobox pseudogene 1	pseudo	NCBI	inferred
159162	RBMY2FP	ENSG00000243040	RNA binding motif protein, Y-linked, family 2, member F pseudogene	pseudo	NCBI	inferred
220594	USP32P2	ENSG00000233327	ubiquitin specific peptidase 32 pseudogene 2	pseudo	NCBI	inferred
255812	SDHAP1	ENSG00000185485	succinate dehydrogenase complex flavoprotein subunit A pseudogene 1	pseudo	NCBI	inferred
255926	ADAM5	ENSG00000196115	ADAM metallopeptidase domain 5 (pseudogene)	pseudo	NCBI	inferred
283755	HERC2P3	ENSG00000180229	hect domain and RLD 2 pseudogene 3	pseudo	NCBI	inferred
340591	CA5BP1	ENSG00000186312	carbonic anhydrase 5B pseudogene 1	pseudo	NCBI	inferred
376412	RNF126P1	ENSG00000261192	ring finger protein 126 pseudogene 1	pseudo	NCBI	inferred
389715	FAM205BP	""	transmembrane protein C9orf144B pseudogene	pseudo	NCBI	inferred
440915	POTEKP	""	POTE ankyrin domain family member K, pseudogene	pseudo	NCBI	inferred
441601	LOC441601	ENSG00000255042	septin 7 pseudogene	pseudo	NCBI	inferred
642559	POU5F1P3	ENSG00000235602	POU class 5 homeobox 1 pseudogene 3	pseudo	NCBI	inferred
643224	TUBBP5	""	tubulin beta pseudogene 5	pseudo	NCBI	inferred
644068	RPS14P3	""	ribosomal protein S14 pseudogene 3	pseudo	NCBI	inferred
645682	POU5F1P4	ENSG00000237872	POU class 5 homeobox 1 pseudogene 4	pseudo	NCBI	inferred
645784	ANKRD36BP2	ENSG00000230006	ankyrin repeat domain 36B pseudogene 2	pseudo	NCBI	inferred
647288	CTAGE11P	ENSG00000214249	CTAGE family member 11, pseudogene	pseudo	NCBI	inferred
653188	GUSBP3	ENSG00000253203	GUSB pseudogene 3	pseudo	NCBI	inferred
653238	GTF2H2B	""	general transcription factor IIH subunit 2B (pseudogene)	pseudo	NCBI	inferred
729799	SEC14L1P1	ENSG00000213693	SEC14 like 1 pseudogene 1	pseudo	NCBI	inferred
100130331	LOC100130331	ENSG00000237250	POTE ankyrin domain family, member F pseudogene	pseudo	NCBI	inferred
10	NAT2	ENSG00000156006	N-acetyltransferase 2	protein-coding	NCBI	inferred
12	SERPINA3	ENSG00000196136	serpin family A member 3	protein-coding	NCBI	inferred
15	AANAT	ENSG00000129673	aralkylamine N-acetyltransferase	protein-coding	NCBI	inferred
24	ABCA4	ENSG00000198691	ATP binding cassette subfamily A member 4	protein-coding	NCBI	inferred
26	AOC1	ENSG00000002726	amine oxidase copper containing 1	protein-coding	NCBI	inferred
27	ABL2	ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase	protein-coding	NCBI	inferred
28	ABO	ENSG00000175164	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	protein-coding	NCBI	inferred
49	ACR	ENSG00000100312	acrosin	protein-coding	NCBI	inferred
56	ACRV1	ENSG00000134940	acrosomal vesicle protein 1	protein-coding	NCBI	inferred
58	ACTA1	ENSG00000143632	actin alpha 1, skeletal muscle	protein-coding	NCBI	inferred
93	ACVR2B	ENSG00000114739	activin A receptor type 2B	protein-coding	NCBI	inferred
116	ADCYAP1	ENSG00000141433	adenylate cyclase activating polypeptide 1	protein-coding	NCBI	inferred
117	ADCYAP1R1	ENSG00000078549	ADCYAP receptor type I	protein-coding	NCBI	inferred
130	ADH6	ENSG00000172955	alcohol dehydrogenase 6 (class V)	protein-coding	NCBI	inferred
131	ADH7	ENSG00000196344	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	protein-coding	NCBI	inferred
146	ADRA1D	ENSG00000171873	adrenoceptor alpha 1D	protein-coding	NCBI	inferred
147	ADRA1B	ENSG00000170214	adrenoceptor alpha 1B	protein-coding	NCBI	inferred
148	ADRA1A	ENSG00000120907	adrenoceptor alpha 1A	protein-coding	NCBI	inferred
151	ADRA2B	ENSG00000274286	adrenoceptor alpha 2B	protein-coding	NCBI	inferred
155	ADRB3	ENSG00000188778	adrenoceptor beta 3	protein-coding	NCBI	inferred
167	CRISP1	ENSG00000124812	cysteine rich secretory protein 1	protein-coding	NCBI	inferred
173	AFM	ENSG00000079557	afamin	protein-coding	NCBI	inferred
174	AFP	ENSG00000081051	alpha fetoprotein	protein-coding	NCBI	inferred
181	AGRP	ENSG00000159723	agouti related neuropeptide	protein-coding	NCBI	inferred
186	AGTR2	ENSG00000180772	angiotensin II receptor type 2	protein-coding	NCBI	inferred
189	AGXT	ENSG00000172482	alanine--glyoxylate and serine--pyruvate aminotransferase	protein-coding	NCBI	inferred
190	NR0B1	ENSG00000169297	nuclear receptor subfamily 0 group B member 1	protein-coding	NCBI	inferred
197	AHSG	ENSG00000145192	alpha 2-HS glycoprotein	protein-coding	NCBI	inferred
208	AKT2	ENSG00000105221	AKT serine/threonine kinase 2	protein-coding	NCBI	inferred
212	ALAS2	ENSG00000158578	5'-aminolevulinate synthase 2	protein-coding	NCBI	inferred
213	ALB	ENSG00000163631	albumin	protein-coding	NCBI	inferred
238	ALK	ENSG00000171094	ALK receptor tyrosine kinase	protein-coding	NCBI	inferred
242	ALOX12B	ENSG00000179477	arachidonate 12-lipoxygenase, 12R type	protein-coding	NCBI	inferred
246	ALOX15	ENSG00000161905	arachidonate 15-lipoxygenase	protein-coding	NCBI	inferred
248	ALPI	ENSG00000163295	alkaline phosphatase, intestinal	protein-coding	NCBI	inferred
250	ALPP	ENSG00000163283	alkaline phosphatase, placental	protein-coding	NCBI	inferred
251	ALPG	ENSG00000163286	alkaline phosphatase, germ cell	protein-coding	NCBI	inferred
257	ALX3	ENSG00000156150	ALX homeobox 3	protein-coding	NCBI	inferred
258	AMBN	ENSG00000178522	ameloblastin	protein-coding	NCBI	inferred
259	AMBP	ENSG00000106927	alpha-1-microglobulin/bikunin precursor	protein-coding	NCBI	inferred
265	AMELX	ENSG00000125363	amelogenin X-linked	protein-coding	NCBI	inferred
266	AMELY	ENSG00000099721	amelogenin Y-linked	protein-coding	NCBI	inferred
268	AMH	ENSG00000104899	anti-Mullerian hormone	protein-coding	NCBI	inferred
269	AMHR2	ENSG00000135409	anti-Mullerian hormone receptor type 2	protein-coding	NCBI	inferred
312	ANXA13	ENSG00000104537	annexin A13	protein-coding	NCBI	inferred
319	APOF	ENSG00000175336	apolipoprotein F	protein-coding	NCBI	inferred
320	APBA1	ENSG00000107282	amyloid beta precursor protein binding family A member 1	protein-coding	NCBI	inferred
325	APCS	ENSG00000132703	amyloid P component, serum	protein-coding	NCBI	inferred
326	AIRE	ENSG00000160224	autoimmune regulator	protein-coding	NCBI	inferred
331	XIAP	ENSG00000101966	X-linked inhibitor of apoptosis	protein-coding	NCBI	inferred
335	APOA1	ENSG00000118137	apolipoprotein A1	protein-coding	NCBI	inferred
336	APOA2	ENSG00000158874	apolipoprotein A2	protein-coding	NCBI	inferred
337	APOA4	ENSG00000110244	apolipoprotein A4	protein-coding	NCBI	inferred
338	APOB	ENSG00000084674	apolipoprotein B	protein-coding	NCBI	inferred
339	APOBEC1	ENSG00000111701	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein-coding	NCBI	inferred
343	AQP8	ENSG00000103375	aquaporin 8	protein-coding	NCBI	inferred
344	APOC2	ENSG00000234906	apolipoprotein C2	protein-coding	NCBI	inferred
345	APOC3	ENSG00000110245	apolipoprotein C3	protein-coding	NCBI	inferred
350	APOH	ENSG00000091583	apolipoprotein H	protein-coding	NCBI	inferred
354	KLK3	ENSG00000142515	kallikrein related peptidase 3	protein-coding	NCBI	inferred
356	FASLG	ENSG00000117560	Fas ligand	protein-coding	NCBI	inferred
359	AQP2	ENSG00000167580	aquaporin 2	protein-coding	NCBI	inferred
363	AQP6	ENSG00000086159	aquaporin 6	protein-coding	NCBI	inferred
401	PHOX2A	ENSG00000165462	paired like homeobox 2A	protein-coding	NCBI	inferred
407	ARR3	ENSG00000120500	arrestin 3	protein-coding	NCBI	inferred
415	ARSE	ENSG00000157399	arylsulfatase E	protein-coding	NCBI	inferred
417	ART1	ENSG00000129744	ADP-ribosyltransferase 1	protein-coding	NCBI	inferred
430	ASCL2	ENSG00000183734	achaete-scute family bHLH transcription factor 2	protein-coding	NCBI	inferred
433	ASGR2	ENSG00000161944	asialoglycoprotein receptor 2	protein-coding	NCBI	inferred
434	ASIP	ENSG00000101440	agouti signaling protein	protein-coding	NCBI	inferred
438	ASMT	ENSG00000196433	acetylserotonin O-methyltransferase	protein-coding	NCBI	inferred
462	SERPINC1	ENSG00000117601	serpin family C member 1	protein-coding	NCBI	inferred
474	ATOH1	ENSG00000172238	atonal bHLH transcription factor 1	protein-coding	NCBI	inferred
479	ATP12A	ENSG00000075673	ATPase H+/K+ transporting non-gastric alpha2 subunit	protein-coding	NCBI	inferred
486	FXYD2	ENSG00000137731	FXYD domain containing ion transport regulator 2	protein-coding	NCBI	inferred
487	ATP2A1	ENSG00000196296	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	protein-coding	NCBI	inferred
495	ATP4A	ENSG00000105675	ATPase H+/K+ transporting subunit alpha	protein-coding	NCBI	inferred
496	ATP4B	ENSG00000186009	ATPase H+/K+ transporting subunit beta	protein-coding	NCBI	inferred
525	ATP6V1B1	ENSG00000116039	ATPase H+ transporting V1 subunit B1	protein-coding	NCBI	inferred
527	ATP6V0C	ENSG00000185883	ATPase H+ transporting V0 subunit c	protein-coding	NCBI	inferred
551	AVP	ENSG00000101200	arginine vasopressin	protein-coding	NCBI	inferred
553	AVPR1B	ENSG00000198049	arginine vasopressin receptor 1B	protein-coding	NCBI	inferred
554	AVPR2	ENSG00000126895	arginine vasopressin receptor 2	protein-coding	NCBI	inferred
566	AZU1	ENSG00000172232	azurocidin 1	protein-coding	NCBI	inferred
579	NKX3-2	ENSG00000109705	NK3 homeobox 2	protein-coding	NCBI	inferred
582	BBS1	ENSG00000174483	Bardet-Biedl syndrome 1	protein-coding	NCBI	inferred
593	BCKDHA	ENSG00000248098	branched chain keto acid dehydrogenase E1, alpha polypeptide	protein-coding	NCBI	inferred
611	OPN1SW	ENSG00000128617	opsin 1, short wave sensitive	protein-coding	NCBI	inferred
623	BDKRB1	ENSG00000100739	bradykinin receptor B1	protein-coding	NCBI	inferred
635	BHMT	ENSG00000145692	betaine--homocysteine S-methyltransferase	protein-coding	NCBI	inferred
643	CXCR5	ENSG00000160683	C-X-C motif chemokine receptor 5	protein-coding	NCBI	inferred
651	BMP3	ENSG00000152785	bone morphogenetic protein 3	protein-coding	NCBI	inferred
656	BMP8B	ENSG00000116985	bone morphogenetic protein 8b	protein-coding	NCBI	inferred
658	BMPR1B	ENSG00000138696	bone morphogenetic protein receptor type 1B	protein-coding	NCBI	inferred
666	BOK	ENSG00000176720	BCL2 family apoptosis regulator BOK	protein-coding	NCBI	inferred
671	BPI	ENSG00000101425	bactericidal permeability increasing protein	protein-coding	NCBI	inferred
676	BRDT	ENSG00000137948	bromodomain testis associated	protein-coding	NCBI	inferred
680	BRS3	ENSG00000102239	bombesin receptor subtype 3	protein-coding	NCBI	inferred
682	BSG	ENSG00000172270	basigin (Ok blood group)	protein-coding	NCBI	inferred
685	BTC	ENSG00000174808	betacellulin	protein-coding	NCBI	inferred
696	BTN1A1	ENSG00000124557	butyrophilin subfamily 1 member A1	protein-coding	NCBI	inferred
731	C8A	ENSG00000157131	complement C8 alpha chain	protein-coding	NCBI	inferred
732	C8B	ENSG00000021852	complement C8 beta chain	protein-coding	NCBI	inferred
733	C8G	ENSG00000176919	complement C8 gamma chain	protein-coding	NCBI	inferred
735	C9	ENSG00000113600	complement C9	protein-coding	NCBI	inferred
759	CA1	ENSG00000133742	carbonic anhydrase 1	protein-coding	NCBI	inferred
761	CA3	ENSG00000164879	carbonic anhydrase 3	protein-coding	NCBI	inferred
763	CA5A	ENSG00000174990	carbonic anhydrase 5A	protein-coding	NCBI	inferred
766	CA7	ENSG00000168748	carbonic anhydrase 7	protein-coding	NCBI	inferred
774	CACNA1B	ENSG00000148408	calcium voltage-gated channel subunit alpha1 B	protein-coding	NCBI	inferred
777	CACNA1E	ENSG00000198216	calcium voltage-gated channel subunit alpha1 E	protein-coding	NCBI	inferred
778	CACNA1F	ENSG00000102001	calcium voltage-gated channel subunit alpha1 F	protein-coding	NCBI	inferred
779	CACNA1S	ENSG00000081248	calcium voltage-gated channel subunit alpha1 S	protein-coding	NCBI	inferred
786	CACNG1	ENSG00000108878	calcium voltage-gated channel auxiliary subunit gamma 1	protein-coding	NCBI	inferred
795	S100G	ENSG00000169906	S100 calcium binding protein G	protein-coding	NCBI	inferred
796	CALCA	ENSG00000110680	calcitonin related polypeptide alpha	protein-coding	NCBI	inferred
797	CALCB	ENSG00000175868	calcitonin related polypeptide beta	protein-coding	NCBI	inferred
799	CALCR	ENSG00000004948	calcitonin receptor	protein-coding	NCBI	inferred
846	CASR	ENSG00000036828	calcium sensing receptor	protein-coding	NCBI	inferred
859	CAV3	ENSG00000182533	caveolin 3	protein-coding	NCBI	inferred
866	SERPINA6	ENSG00000170099	serpin family A member 6	protein-coding	NCBI	inferred
886	CCKAR	ENSG00000163394	cholecystokinin A receptor	protein-coding	NCBI	inferred
910	CD1B	ENSG00000158485	CD1b molecule	protein-coding	NCBI	inferred
922	CD5L	ENSG00000073754	CD5 molecule like	protein-coding	NCBI	inferred
926	CD8B	ENSG00000172116	CD8b molecule	protein-coding	NCBI	inferred
932	MS4A3	ENSG00000149516	membrane spanning 4-domains A3	protein-coding	NCBI	inferred
941	CD80	ENSG00000121594	CD80 molecule	protein-coding	NCBI	inferred
943	TNFRSF8	ENSG00000120949	TNF receptor superfamily member 8	protein-coding	NCBI	inferred
946	SIGLEC6	ENSG00000105492	sialic acid binding Ig like lectin 6	protein-coding	NCBI	inferred
952	CD38	ENSG00000004468	CD38 molecule	protein-coding	NCBI	inferred
954	ENTPD2	ENSG00000054179	ectonucleoside triphosphate diphosphohydrolase 2	protein-coding	NCBI	inferred
957	ENTPD5	ENSG00000187097	ectonucleoside triphosphate diphosphohydrolase 5	protein-coding	NCBI	inferred
959	CD40LG	ENSG00000102245	CD40 ligand	protein-coding	NCBI	inferred
970	CD70	ENSG00000125726	CD70 molecule	protein-coding	NCBI	inferred
1005	CDH7	ENSG00000081138	cadherin 7	protein-coding	NCBI	inferred
1010	CDH12	ENSG00000154162	cadherin 12	protein-coding	NCBI	inferred
1015	CDH17	ENSG00000079112	cadherin 17	protein-coding	NCBI	inferred
1041	CDSN	ENSG00000204539	corneodesmosin	protein-coding	NCBI	inferred
1044	CDX1	ENSG00000113722	caudal type homeobox 1	protein-coding	NCBI	inferred
1045	CDX2	ENSG00000165556	caudal type homeobox 2	protein-coding	NCBI	inferred
1046	CDX4	ENSG00000131264	caudal type homeobox 4	protein-coding	NCBI	inferred
1048	CEACAM5	ENSG00000105388	carcinoembryonic antigen related cell adhesion molecule 5	protein-coding	NCBI	inferred
1053	CEBPE	ENSG00000092067	CCAAT enhancer binding protein epsilon	protein-coding	NCBI	inferred
1068	CETN1	ENSG00000177143	centrin 1	protein-coding	NCBI	inferred
1072	CFL1	ENSG00000172757	cofilin 1	protein-coding	NCBI	inferred
1080	CFTR	ENSG00000001626	cystic fibrosis transmembrane conductance regulator	protein-coding	NCBI	inferred
1081	CGA	ENSG00000135346	glycoprotein hormones, alpha polypeptide	protein-coding	NCBI	inferred
1084	CEACAM3	ENSG00000170956	carcinoembryonic antigen related cell adhesion molecule 3	protein-coding	NCBI	inferred
1087	CEACAM7	ENSG00000007306	carcinoembryonic antigen related cell adhesion molecule 7	protein-coding	NCBI	inferred
1088	CEACAM8	ENSG00000124469	carcinoembryonic antigen related cell adhesion molecule 8	protein-coding	NCBI	inferred
1089	CEACAM4	ENSG00000105352	carcinoembryonic antigen related cell adhesion molecule 4	protein-coding	NCBI	inferred
1103	CHAT	ENSG00000070748	choline O-acetyltransferase	protein-coding	NCBI	inferred
1106	CHD2	ENSG00000173575	chromodomain helicase DNA binding protein 2	protein-coding	NCBI	inferred
1109	AKR1C4	ENSG00000198610	aldo-keto reductase family 1 member C4	protein-coding	NCBI	inferred
1118	CHIT1	ENSG00000133063	chitinase 1	protein-coding	NCBI	inferred
1129	CHRM2	ENSG00000181072	cholinergic receptor muscarinic 2	protein-coding	NCBI	inferred
1131	CHRM3	ENSG00000133019	cholinergic receptor muscarinic 3	protein-coding	NCBI	inferred
1132	CHRM4	ENSG00000180720	cholinergic receptor muscarinic 4	protein-coding	NCBI	inferred
1133	CHRM5	ENSG00000184984	cholinergic receptor muscarinic 5	protein-coding	NCBI	inferred
1134	CHRNA1	ENSG00000138435	cholinergic receptor nicotinic alpha 1 subunit	protein-coding	NCBI	inferred
1135	CHRNA2	ENSG00000120903	cholinergic receptor nicotinic alpha 2 subunit	protein-coding	NCBI	inferred
1136	CHRNA3	ENSG00000080644	cholinergic receptor nicotinic alpha 3 subunit	protein-coding	NCBI	inferred
1137	CHRNA4	ENSG00000101204	cholinergic receptor nicotinic alpha 4 subunit	protein-coding	NCBI	inferred
1138	CHRNA5	ENSG00000169684	cholinergic receptor nicotinic alpha 5 subunit	protein-coding	NCBI	inferred
1141	CHRNB2	ENSG00000160716	cholinergic receptor nicotinic beta 2 subunit	protein-coding	NCBI	inferred
1142	CHRNB3	ENSG00000147432	cholinergic receptor nicotinic beta 3 subunit	protein-coding	NCBI	inferred
1143	CHRNB4	ENSG00000117971	cholinergic receptor nicotinic beta 4 subunit	protein-coding	NCBI	inferred
1144	CHRND	ENSG00000135902	cholinergic receptor nicotinic delta subunit	protein-coding	NCBI	inferred
1145	CHRNE	ENSG00000108556	cholinergic receptor nicotinic epsilon subunit	protein-coding	NCBI	inferred
1146	CHRNG	ENSG00000196811	cholinergic receptor nicotinic gamma subunit	protein-coding	NCBI	inferred
1158	CKM	ENSG00000104879	creatine kinase, M-type	protein-coding	NCBI	inferred
1178	CLC	ENSG00000105205	Charcot-Leyden crystal galectin	protein-coding	NCBI	inferred
1179	CLCA1	ENSG00000016490	chloride channel accessory 1	protein-coding	NCBI	inferred
1180	CLCN1	ENSG00000188037	chloride voltage-gated channel 1	protein-coding	NCBI	inferred
1188	CLCNKB	ENSG00000184908	chloride voltage-gated channel Kb	protein-coding	NCBI	inferred
1208	CLPS	ENSG00000137392	colipase	protein-coding	NCBI	inferred
1232	CCR3	ENSG00000183625	C-C motif chemokine receptor 3	protein-coding	NCBI	inferred
1235	CCR6	ENSG00000112486	C-C motif chemokine receptor 6	protein-coding	NCBI	inferred
1237	CCR8	ENSG00000179934	C-C motif chemokine receptor 8	protein-coding	NCBI	inferred
1238	ACKR2	ENSG00000144648	atypical chemokine receptor 2	protein-coding	NCBI	inferred
1258	CNGB1	ENSG00000070729	cyclic nucleotide gated channel beta 1	protein-coding	NCBI	inferred
1261	CNGA3	ENSG00000144191	cyclic nucleotide gated channel alpha 3	protein-coding	NCBI	inferred
1271	CNTFR	ENSG00000122756	ciliary neurotrophic factor receptor	protein-coding	NCBI	inferred
1280	COL2A1	ENSG00000139219	collagen type II alpha 1 chain	protein-coding	NCBI	inferred
1300	COL10A1	ENSG00000123500	collagen type X alpha 1 chain	protein-coding	NCBI	inferred
1301	COL11A1	ENSG00000060718	collagen type XI alpha 1 chain	protein-coding	NCBI	inferred
1302	COL11A2	ENSG00000204248	collagen type XI alpha 2 chain	protein-coding	NCBI	inferred
1310	COL19A1	ENSG00000082293	collagen type XIX alpha 1 chain	protein-coding	NCBI	inferred
1339	COX6A2	ENSG00000156885	cytochrome c oxidase subunit 6A2	protein-coding	NCBI	inferred
1357	CPA1	ENSG00000091704	carboxypeptidase A1	protein-coding	NCBI	inferred
1358	CPA2	ENSG00000158516	carboxypeptidase A2	protein-coding	NCBI	inferred
1360	CPB1	ENSG00000153002	carboxypeptidase B1	protein-coding	NCBI	inferred
1361	CPB2	ENSG00000080618	carboxypeptidase B2	protein-coding	NCBI	inferred
1369	CPN1	ENSG00000120054	carboxypeptidase N subunit 1	protein-coding	NCBI	inferred
1370	CPN2	ENSG00000178772	carboxypeptidase N subunit 2	protein-coding	NCBI	inferred
1373	CPS1	ENSG00000021826	carbamoyl-phosphate synthase 1	protein-coding	NCBI	inferred
1395	CRHR2	ENSG00000106113	corticotropin releasing hormone receptor 2	protein-coding	NCBI	inferred
1401	CRP	ENSG00000132693	C-reactive protein	protein-coding	NCBI	inferred
